Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-07,275.0,275.2,260.77,267.88,6105100,0,0
2015-07-08,259.32,260.8,254.31,254.96,6221100,0,0
2015-07-09,259.08,262.95,256.79,257.92,3334100,0,0
2015-07-10,262.22,263.0,257.82,259.15,2610900,0,0
2015-07-13,262.25,262.55,256.05,262.16,2960300,0,0
2015-07-14,262.1,265.99,260.51,265.65,1907600,0,0
2015-07-15,266.74,267.49,262.08,263.14,2021600,0,0
2015-07-16,264.22,267.2,263.16,266.68,1616000,0,0
2015-07-17,272.5,275.54,268.25,274.66,5004100,0,0
2015-07-20,275.0,286.65,272.54,282.26,4978500,0,0
2015-07-21,270.05,273.5,266.55,266.77,6108700,0,0
2015-07-22,261.27,269.44,260.86,267.87,3105000,0,0
2015-07-23,269.65,269.9,265.27,267.2,2227200,0,0
2015-07-24,267.38,271.09,263.92,265.41,2836500,0,0
2015-07-27,262.43,264.43,250.79,253.01,4694200,0,0
2015-07-28,255.75,265.4,251.84,264.82,3895800,0,0
2015-07-29,264.27,267.89,262.0,263.82,2790100,0,0
2015-07-30,262.69,266.94,262.11,266.79,2034600,0,0
2015-07-31,267.6,269.36,265.12,266.15,2222600,0,0
2015-08-03,266.29,266.71,257.07,259.99,2553500,0,0
2015-08-04,260.01,266.72,258.34,266.28,2352500,0,0
2015-08-05,263.58,271.0,260.4,270.13,6214300,0,0
2015-08-06,249.54,255.0,236.12,246.13,14623800,0,0
2015-08-07,243.58,243.73,238.39,242.51,5073400,0,0
2015-08-10,238.15,242.97,236.05,241.14,4185900,0,0
2015-08-11,237.15,239.3,234.44,237.37,4264900,0,0
2015-08-12,235.0,239.77,232.74,238.17,3728000,0,0
2015-08-13,239.86,246.48,239.12,242.51,4689200,0,0
2015-08-14,247.24,247.93,241.77,243.15,4364800,0,0
2015-08-17,255.56,256.59,250.51,254.99,7176700,0,0
2015-08-18,255.38,260.95,253.56,260.72,4195000,0,0
2015-08-19,260.33,260.65,255.02,255.25,3604300,0,0
2015-08-20,252.06,254.56,241.9,242.18,4905800,0,0
2015-08-21,236.0,243.8,230.51,230.77,6590200,0,0
2015-08-24,202.79,231.4,195.0,218.87,9581600,0,0
2015-08-25,230.52,230.9,219.12,220.03,4327300,0,0
2015-08-26,227.93,228.0,215.51,224.84,4963000,0,0
2015-08-27,231.0,244.75,230.81,242.99,7656000,0,0
2015-08-28,241.86,251.45,241.57,248.48,5513700,0,0
2015-08-31,245.62,254.95,245.51,249.06,4700200,0,0
2015-09-01,240.34,246.0,236.97,238.63,5454800,0,0
2015-09-02,245.3,247.88,239.78,247.69,4629200,0,0
2015-09-03,252.06,252.08,245.0,245.57,4194800,0,0
2015-09-04,240.89,244.09,238.2,241.93,3689200,0,0
2015-09-08,245.05,249.16,244.05,248.17,3138200,0,0
2015-09-09,252.05,254.25,248.3,248.91,3390800,0,0
2015-09-10,247.23,250.72,245.33,248.48,2709000,0,0
2015-09-11,247.64,250.24,244.73,250.24,2350800,0,0
2015-09-14,251.1,254.25,249.67,253.19,2890900,0,0
2015-09-15,252.75,254.6,249.5,253.57,2933500,0,0
2015-09-16,253.04,262.88,252.88,262.25,4417100,0,0
2015-09-17,263.96,265.5,260.69,262.07,3585800,0,0
2015-09-18,257.96,263.82,257.5,260.62,3763100,0,0
2015-09-21,263.98,271.57,255.8,264.2,6120200,0,0
2015-09-22,259.03,262.65,255.87,260.94,3664400,0,0
2015-09-23,261.95,262.08,257.58,261.06,2600800,0,0
2015-09-24,259.53,263.45,256.21,263.12,3448200,0,0
2015-09-25,266.61,266.91,256.15,256.91,3773400,0,0
2015-09-28,257.35,259.79,246.61,248.43,4901100,0,0
2015-09-29,250.46,254.73,245.46,246.65,3703200,0,0
2015-09-30,252.0,252.4,242.34,248.4,4929600,0,0
2015-10-01,247.51,248.5,237.13,239.88,4573000,0,0
2015-10-02,235.6,247.7,234.93,247.57,4424000,0,0
2015-10-05,248.84,249.84,244.13,246.15,3689900,0,0
2015-10-06,240.0,243.03,235.58,241.46,5225200,0,0
2015-10-07,236.63,237.7,229.12,231.96,6814000,0,0
2015-10-08,230.08,230.72,221.31,226.72,6133200,0,0
2015-10-09,220.93,224.37,218.36,220.69,6158400,0,0
2015-10-12,222.99,223.0,215.27,215.58,3836300,0,0
2015-10-13,213.28,222.52,211.13,219.25,5171500,0,0
2015-10-14,220.67,220.95,215.43,216.88,3104400,0,0
2015-10-15,216.43,221.73,213.7,221.31,2844200,0,0
2015-10-16,223.04,230.48,222.87,227.01,4334500,0,0
2015-10-19,226.5,231.15,224.94,228.1,2507900,0,0
2015-10-20,227.72,228.6,202.0,213.03,14900000,0,0
2015-10-21,211.99,214.81,208.8,210.09,4151500,0,0
2015-10-22,211.56,215.75,209.4,211.72,2825200,0,0
2015-10-23,215.0,215.35,207.69,209.09,4235500,0,0
2015-10-26,211.38,215.88,210.0,215.26,3391400,0,0
2015-10-27,214.84,217.1,207.51,210.35,3519400,0,0
2015-10-28,211.31,213.45,208.3,212.96,2728600,0,0
2015-10-29,211.75,213.75,210.64,211.63,1805000,0,0
2015-10-30,210.4,211.63,203.89,206.93,4438900,0,0
2015-11-02,208.92,215.8,207.22,213.79,3927900,0,0
2015-11-03,213.85,214.44,207.75,208.35,8332500,0,0
2015-11-04,227.0,232.74,225.2,231.63,12726400,0,0
2015-11-05,230.58,234.58,229.19,231.77,4496800,0,0
2015-11-06,230.7,233.36,229.5,232.36,2445300,0,0
2015-11-09,232.99,232.99,224.31,225.33,3850900,0,0
2015-11-10,223.48,223.7,216.08,216.5,4617000,0,0
2015-11-11,217.77,219.48,213.63,219.08,3347800,0,0
2015-11-12,217.85,219.0,212.66,212.94,2915900,0,0
2015-11-13,212.95,212.99,206.52,207.19,3430300,0,0
2015-11-16,206.09,214.98,205.8,214.31,2925400,0,0
2015-11-17,215.2,216.0,211.4,214.0,2148700,0,0
